Experiment: Nash_Combination_Experiment_10
Generation: 75
Generation Type: v
Timestamp: 20231226_054157

Genotypes and their Fitness Values:
[0.0085, 0.46, 0.13, -0.8227583939722629, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.33740087377035, 10.498378416416625] - Base Fitness: 0.2178118156380273, Adjusted Fitness: 25429.530969500676
[0.0085, 0.46, 0.13, -0.8227583939722629, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.33740087377035, 10.498378416416625] - Base Fitness: 0.2178118156380273, Adjusted Fitness: 25429.530969500676
[0.0085, 0.46, 0.13, -0.8227583939722629, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.33740087377035, 10.452367689800607] - Base Fitness: 0.22266748747567655, Adjusted Fitness: 0.22310832851046705
[0.0085, 0.46, 0.13, -0.8227583939722629, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.33740087377035, 10.498378416416625] - Base Fitness: 0.2178118156380273, Adjusted Fitness: 25429.530969500676
[0.0085, 0.46, 0.13, -0.8227583939722629, 0.26, -0.023, 0.09892202727022276, -0.003, 0.0025, 7.33740087377035, 10.498378416416625] - Base Fitness: 0.1904311323604253, Adjusted Fitness: 0.1904311323604253
[0.0085, 0.46, 0.13, -0.8227583939722629, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.33740087377035, 10.498378416416625] - Base Fitness: 0.2178118156380273, Adjusted Fitness: 25429.530969500676
[0.0085, 0.46, 0.13, -0.8227583939722629, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.33740087377035, 10.498378416416625] - Base Fitness: 0.2178118156380273, Adjusted Fitness: 25429.530969500676
[0.0085, 0.46, 0.13, -0.8227583939722629, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.360652395144714, 10.498378416416625] - Base Fitness: 0.2173016504453568, Adjusted Fitness: 0.21773125378093683
[0.0085, 0.46, 0.13, -0.8227583939722629, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.374882371410465, 10.498378416416625] - Base Fitness: 0.21625899580001287, Adjusted Fitness: 0.21645748988030808
[0.0085, 0.46, 0.13, -0.8227583939722629, 0.26, -0.023, 0.07871949441795953, -0.003, 0.0025, 7.33740087377035, 10.452367689800607] - Base Fitness: 0.20663572880719747, Adjusted Fitness: 0.20674915445980263
[0.0085, 0.46, 0.13, -0.8227583939722629, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.33740087377035, 10.498378416416625] - Base Fitness: 0.2178118156380273, Adjusted Fitness: 25429.530969500676
[0.0085, 0.46, 0.13, -0.8227583939722629, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.33740087377035, 10.498378416416625] - Base Fitness: 0.2178118156380273, Adjusted Fitness: 25429.530969500676
[0.0085, 0.46, 0.13, -0.8227583939722629, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.33740087377035, 10.498378416416625] - Base Fitness: 0.2178118156380273, Adjusted Fitness: 25429.530969500676
[0.0085, 0.46, 0.13, -0.8227583939722629, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.33740087377035, 10.460360724169307] - Base Fitness: 0.22181782112970003, Adjusted Fitness: 0.2227140543429902
[0.0085, 0.46, 0.13, -0.8227583939722629, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.33740087377035, 10.5116437099618] - Base Fitness: 0.216368632343311, Adjusted Fitness: 0.2167835537765879
[0.0085, 0.46, 0.13, -0.8227583939722629, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.33740087377035, 10.498378416416625] - Base Fitness: 0.2178118156380273, Adjusted Fitness: 25429.530969500676
[0.0085, 0.4246538193786532, 0.13, -0.8227583939722629, 0.21735753144507935, -0.023, 0.05, -0.003, 0.0025, 7.33740087377035, 10.498378416416625] - Base Fitness: -0.9230020982276516, Adjusted Fitness: -0.9230020982276516
[0.0085, 0.46, 0.13, -0.8203550416912122, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.33740087377035, 10.498378416416625] - Base Fitness: 0.21766715414974008, Adjusted Fitness: 0.21878448989602448
[0.0085, 0.46, 0.13, -0.8227583939722629, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.33740087377035, 10.498378416416625] - Base Fitness: 0.2178118156380273, Adjusted Fitness: 25429.530969500676
[0.0085, 0.46, 0.13, -0.8227583939722629, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.33740087377035, 10.498378416416625] - Base Fitness: 0.2178118156380273, Adjusted Fitness: 25429.530969500676
[0.0085, 0.46, 0.13, -0.8072598287466266, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.318659004014248, 10.498378416416625] - Base Fitness: 0.21774459472579513, Adjusted Fitness: 0.21795063634605577
[0.0085, 0.46, 0.13, -0.8227583939722629, 0.26, -0.023, 0.09892202727022276, -0.003, 0.005, 7.33740087377035, 10.498378416416625] - Base Fitness: -0.08817835391733445, Adjusted Fitness: -0.08810508999947564
[0.0085, 0.46, 0.13, -0.8227583939722629, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.33740087377035, 10.498378416416625] - Base Fitness: 0.2178118156380273, Adjusted Fitness: 25429.530969500676
[0.0085, 0.46, 0.13, -0.8203550416912122, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.33740087377035, 10.498378416416625] - Base Fitness: 0.21766715414974008, Adjusted Fitness: 0.21878448989602448
[0.0085, 0.46, 0.13, -0.8227583939722629, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.33740087377035, 10.498378416416625] - Base Fitness: 0.2178118156380273, Adjusted Fitness: 25429.530969500676
[0.0085, 0.46, 0.13, -0.8227583939722629, 0.26, -0.023, 0.05, -0.006, 0.0025, 7.33740087377035, 10.498378416416625] - Base Fitness: -0.2414597333138784, Adjusted Fitness: -0.21523737268673152
[0.0085, 0.46, 0.13, -0.8227583939722629, 0.26, -0.023, 0.09892202727022276, -0.003, 0.0025, 7.33740087377035, 10.498378416416625] - Base Fitness: 0.1904311323604253, Adjusted Fitness: 0.1904311323604253
[0.0085, 0.46, 0.13, -0.8227583939722629, 0.26, -0.023, 0.08432605798438737, -0.003, 0.0025, 7.33740087377035, 10.407520873874372] - Base Fitness: 0.20855397880028922, Adjusted Fitness: 0.20868248825897817
[0.0085, 0.46, 0.13, -0.8227583939722629, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.33740087377035, 10.498378416416625] - Base Fitness: 0.2178118156380273, Adjusted Fitness: 25429.530969500676
[0.0085, 0.46, 0.13, -0.8227583939722629, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.33740087377035, 10.498378416416625] - Base Fitness: 0.2178118156380273, Adjusted Fitness: 25429.530969500676
[0.0085, 0.46, 0.13, -0.8227583939722629, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.33740087377035, 10.498378416416625] - Base Fitness: 0.2178118156380273, Adjusted Fitness: 25429.530969500676
[0.0085, 0.46, 0.13, -0.8227583939722629, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.33740087377035, 10.498378416416625] - Base Fitness: 0.2178118156380273, Adjusted Fitness: 25429.530969500676
[0.0085, 0.46, 0.13, -0.8227583939722629, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.33740087377035, 10.498378416416625] - Base Fitness: 0.2178118156380273, Adjusted Fitness: 25429.530969500676
[0.0085, 0.46, 0.13, -0.8227583939722629, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.33740087377035, 10.498378416416625] - Base Fitness: 0.2178118156380273, Adjusted Fitness: 25429.530969500676
[0.0085, 0.46, 0.13, -0.8227583939722629, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.33740087377035, 10.498378416416625] - Base Fitness: 0.2178118156380273, Adjusted Fitness: 25429.530969500676
[0.0085, 0.46, 0.13, -0.8227583939722629, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.33740087377035, 10.498378416416625] - Base Fitness: 0.2178118156380273, Adjusted Fitness: 25429.530969500676
[0.0085, 0.46, 0.13, -0.8227583939722629, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.33740087377035, 10.498378416416625] - Base Fitness: 0.2178118156380273, Adjusted Fitness: 25429.530969500676
[0.0085, 0.46, 0.13, -0.8227583939722629, 0.26, -0.02081661237006323, 0.05, -0.003, 0.0025, 7.33740087377035, 10.498378416416625] - Base Fitness: 0.04621237147404214, Adjusted Fitness: 0.04621237147404214
[0.0085, 0.46, 0.13, -0.8227583939722629, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.33740087377035, 10.498378416416625] - Base Fitness: 0.2178118156380273, Adjusted Fitness: 25429.530969500676
[0.0085, 0.46, 0.13, -0.8227583939722629, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.33740087377035, 10.498378416416625] - Base Fitness: 0.2178118156380273, Adjusted Fitness: 25429.530969500676
[0.0085, 0.46, 0.13, -0.8227583939722629, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.33740087377035, 10.498378416416625] - Base Fitness: 0.2178118156380273, Adjusted Fitness: 25429.530969500676
[0.0085, 0.46, 0.13, -0.8227583939722629, 0.26, -0.015, 0.05, -0.003, 0.0025, 7.33740087377035, 10.498378416416625] - Base Fitness: -0.4197604842042674, Adjusted Fitness: -0.40861727627809336
[0.0085, 0.46, 0.13, -0.8227583939722629, 0.26, -0.015, 0.05, -0.003, 0.0025, 7.33740087377035, 10.498378416416625] - Base Fitness: -0.4197604842042674, Adjusted Fitness: -0.40861727627809336
[0.0085, 0.46, 0.13, -0.8227583939722629, 0.26, -0.023, 0.09892202727022276, -0.003, 0.0025, 7.33740087377035, 10.498378416416625] - Base Fitness: 0.1904311323604253, Adjusted Fitness: 0.1904311323604253
[0.0085, 0.46, 0.13, -0.8227583939722629, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.33740087377035, 10.498378416416625] - Base Fitness: 0.2178118156380273, Adjusted Fitness: 25429.530969500676
[0.0085, 0.46, 0.13, -0.8227583939722629, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.33740087377035, 10.498378416416625] - Base Fitness: 0.2178118156380273, Adjusted Fitness: 25429.530969500676
[0.0085, 0.46, 0.13, -0.8227583939722629, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.33740087377035, 10.498378416416625] - Base Fitness: 0.2178118156380273, Adjusted Fitness: 25429.530969500676
[0.0085, 0.46, 0.13, -0.8227583939722629, 0.26, -0.023, 0.05, -0.006, 0.0025, 7.33740087377035, 10.498378416416625] - Base Fitness: -0.2414597333138784, Adjusted Fitness: -0.21523737268673152
[0.0085, 0.46, 0.13, -0.8227583939722629, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.33740087377035, 10.498378416416625] - Base Fitness: 0.2178118156380273, Adjusted Fitness: 25429.530969500676
[0.0085, 0.46, 0.11, -0.8227583939722629, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.33740087377035, 10.498378416416625] - Base Fitness: -0.5092364804163741, Adjusted Fitness: -0.47807060354976516

Detailed Results for Each Genotype:
Genotype [0.0085, 0.46, 0.13, -0.8227583939722629, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.33740087377035, 10.498378416416625]:
  Angle -10: cl=-0.5654327869415283, cd=0.2335909903049469, cm=-0.18984933197498322
  Angle 8: cl=0.7873237729072571, cd=0.10125106573104858, cm=0.011228024959564209
  Angle 9: cl=0.8824731707572937, cd=0.10539014637470245, cm=0.0033367425203323364
  Angle 10: cl=0.9818730354309082, cd=0.11066645383834839, cm=-0.004608646035194397
Genotype [0.0085, 0.46, 0.13, -0.8227583939722629, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.33740087377035, 10.498378416416625]:
  Angle -10: cl=-0.5654327869415283, cd=0.2335909903049469, cm=-0.18984933197498322
  Angle -9: cl=-0.5926487445831299, cd=0.20070376992225647, cm=-0.18602825701236725
  Angle -8: cl=-0.6153855323791504, cd=0.16577686369419098, cm=-0.18478165566921234
  Angle -7: cl=-0.6544504165649414, cd=0.13089144229888916, cm=-0.18004073202610016
  Angle -6: cl=-0.6092293858528137, cd=0.11614581942558289, cm=-0.1652623564004898
  Angle -5: cl=-0.502692699432373, cd=0.104378841817379, cm=-0.1520518809556961
  Angle -4: cl=-0.41005852818489075, cd=0.09921668469905853, cm=-0.1388772577047348
  Angle -3: cl=-0.30821362137794495, cd=0.09338519722223282, cm=-0.12531514465808868
  Angle -2: cl=-0.2283473014831543, cd=0.08800087124109268, cm=-0.10349716246128082
  Angle -1: cl=-0.16721861064434052, cd=0.08325754851102829, cm=-0.07431046664714813
  Angle 0: cl=-0.0959520936012268, cd=0.08240246027708054, cm=-0.04602836072444916
  Angle 1: cl=-0.012702176347374916, cd=0.08282699435949326, cm=-0.023881837725639343
  Angle 2: cl=0.07088851928710938, cd=0.08372528851032257, cm=-0.008682623505592346
  Angle 3: cl=0.30180132389068604, cd=0.06856133788824081, cm=-0.0035647302865982056
  Angle 4: cl=0.4163748621940613, cd=0.07253704965114594, cm=0.0012581944465637207
  Angle 5: cl=0.5148915648460388, cd=0.08082519471645355, cm=0.004660993814468384
  Angle 6: cl=0.6074143052101135, cd=0.08800110965967178, cm=0.006960362195968628
  Angle 7: cl=0.6972399353981018, cd=0.09460515528917313, cm=0.009388327598571777
  Angle 8: cl=0.7873237729072571, cd=0.10125106573104858, cm=0.011228024959564209
  Angle 9: cl=0.8824731707572937, cd=0.10539014637470245, cm=0.0033367425203323364
  Angle 10: cl=0.9818730354309082, cd=0.11066645383834839, cm=-0.004608646035194397
Genotype [0.0085, 0.46, 0.13, -0.8227583939722629, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.33740087377035, 10.498378416416625]:
  Angle -10: cl=-0.5654327869415283, cd=0.2335909903049469, cm=-0.18984933197498322
  Angle -9: cl=-0.5926487445831299, cd=0.20070376992225647, cm=-0.18602825701236725
  Angle -8: cl=-0.6153855323791504, cd=0.16577686369419098, cm=-0.18478165566921234
  Angle -7: cl=-0.6544504165649414, cd=0.13089144229888916, cm=-0.18004073202610016
  Angle -6: cl=-0.6092293858528137, cd=0.11614581942558289, cm=-0.1652623564004898
  Angle -5: cl=-0.502692699432373, cd=0.104378841817379, cm=-0.1520518809556961
  Angle -4: cl=-0.41005852818489075, cd=0.09921668469905853, cm=-0.1388772577047348
  Angle -3: cl=-0.30821362137794495, cd=0.09338519722223282, cm=-0.12531514465808868
  Angle -2: cl=-0.2283473014831543, cd=0.08800087124109268, cm=-0.10349716246128082
  Angle -1: cl=-0.16721861064434052, cd=0.08325754851102829, cm=-0.07431046664714813
  Angle 0: cl=-0.0959520936012268, cd=0.08240246027708054, cm=-0.04602836072444916
  Angle 1: cl=-0.012702176347374916, cd=0.08282699435949326, cm=-0.023881837725639343
  Angle 2: cl=0.07088851928710938, cd=0.08372528851032257, cm=-0.008682623505592346
  Angle 3: cl=0.30180132389068604, cd=0.06856133788824081, cm=-0.0035647302865982056
  Angle 4: cl=0.4163748621940613, cd=0.07253704965114594, cm=0.0012581944465637207
  Angle 5: cl=0.5148915648460388, cd=0.08082519471645355, cm=0.004660993814468384
  Angle 6: cl=0.6074143052101135, cd=0.08800110965967178, cm=0.006960362195968628
  Angle 7: cl=0.6972399353981018, cd=0.09460515528917313, cm=0.009388327598571777
  Angle 8: cl=0.7873237729072571, cd=0.10125106573104858, cm=0.011228024959564209
  Angle 9: cl=0.8824731707572937, cd=0.10539014637470245, cm=0.0033367425203323364
  Angle 10: cl=0.9818730354309082, cd=0.11066645383834839, cm=-0.004608646035194397
Genotype [0.0085, 0.46, 0.13, -0.8227583939722629, 0.26, -0.015, 0.05, -0.003, 0.0025, 7.33740087377035, 10.498378416416625]:
  Angle -10: cl=-0.5527167916297913, cd=0.21582140028476715, cm=-0.1827671080827713
  Angle -9: cl=-0.5861420631408691, cd=0.18472617864608765, cm=-0.1776701956987381
  Angle -8: cl=-0.6160984635353088, cd=0.15224964916706085, cm=-0.17259620130062103
  Angle -7: cl=-0.643451452255249, cd=0.12577947974205017, cm=-0.16397716104984283
  Angle -6: cl=-0.6280640959739685, cd=0.11012893915176392, cm=-0.1522250920534134
  Angle -5: cl=-0.525587260723114, cd=0.10080581158399582, cm=-0.13801725208759308
  Angle -4: cl=-0.4258904755115509, cd=0.0939847007393837, cm=-0.12227804958820343
  Angle -3: cl=-0.3405817449092865, cd=0.08629583567380905, cm=-0.09885279834270477
  Angle -2: cl=-0.27147483825683594, cd=0.07983491569757462, cm=-0.07253031432628632
  Angle -1: cl=-0.21660347282886505, cd=0.0765766054391861, cm=-0.04365943372249603
  Angle 0: cl=-0.16267041862010956, cd=0.07992860674858093, cm=-0.023172035813331604
  Angle 1: cl=-0.09813448786735535, cd=0.08807142823934555, cm=-0.006514057517051697
  Angle 2: cl=-0.021890854462981224, cd=0.0943283960223198, cm=0.006651818752288818
  Angle 3: cl=0.18650051951408386, cd=0.08615200966596603, cm=0.011212989687919617
  Angle 4: cl=0.27454060316085815, cd=0.09171785414218903, cm=0.017841532826423645
  Angle 5: cl=0.36876097321510315, cd=0.09744522720575333, cm=0.022006332874298096
  Angle 6: cl=0.4639393985271454, cd=0.0993816927075386, cm=0.016958847641944885
  Angle 7: cl=0.5618952512741089, cd=0.1008286103606224, cm=0.011184260249137878
  Angle 8: cl=0.6574530601501465, cd=0.10295913368463516, cm=0.004888221621513367
  Angle 9: cl=0.7501052618026733, cd=0.10636040568351746, cm=-0.004179969429969788
  Angle 10: cl=0.8684068322181702, cd=0.10817312449216843, cm=-0.026354417204856873
Genotype [0.0085, 0.46, 0.13, -0.8227583939722629, 0.26, -0.015, 0.05, -0.003, 0.0025, 7.33740087377035, 10.498378416416625]:
  Angle -10: cl=-0.5527167916297913, cd=0.21582140028476715, cm=-0.1827671080827713
  Angle -9: cl=-0.5861420631408691, cd=0.18472617864608765, cm=-0.1776701956987381
  Angle -8: cl=-0.6160984635353088, cd=0.15224964916706085, cm=-0.17259620130062103
  Angle -7: cl=-0.643451452255249, cd=0.12577947974205017, cm=-0.16397716104984283
  Angle -6: cl=-0.6280640959739685, cd=0.11012893915176392, cm=-0.1522250920534134
  Angle -5: cl=-0.525587260723114, cd=0.10080581158399582, cm=-0.13801725208759308
  Angle -4: cl=-0.4258904755115509, cd=0.0939847007393837, cm=-0.12227804958820343
  Angle -3: cl=-0.3405817449092865, cd=0.08629583567380905, cm=-0.09885279834270477
  Angle -2: cl=-0.27147483825683594, cd=0.07983491569757462, cm=-0.07253031432628632
  Angle -1: cl=-0.21660347282886505, cd=0.0765766054391861, cm=-0.04365943372249603
  Angle 0: cl=-0.16267041862010956, cd=0.07992860674858093, cm=-0.023172035813331604
  Angle 1: cl=-0.09813448786735535, cd=0.08807142823934555, cm=-0.006514057517051697
  Angle 2: cl=-0.021890854462981224, cd=0.0943283960223198, cm=0.006651818752288818
  Angle 3: cl=0.18650051951408386, cd=0.08615200966596603, cm=0.011212989687919617
  Angle 4: cl=0.27454060316085815, cd=0.09171785414218903, cm=0.017841532826423645
  Angle 5: cl=0.36876097321510315, cd=0.09744522720575333, cm=0.022006332874298096
  Angle 6: cl=0.4639393985271454, cd=0.0993816927075386, cm=0.016958847641944885
  Angle 7: cl=0.5618952512741089, cd=0.1008286103606224, cm=0.011184260249137878
  Angle 8: cl=0.6574530601501465, cd=0.10295913368463516, cm=0.004888221621513367
  Angle 9: cl=0.7501052618026733, cd=0.10636040568351746, cm=-0.004179969429969788
  Angle 10: cl=0.8684068322181702, cd=0.10817312449216843, cm=-0.026354417204856873
Genotype [0.0085, 0.46, 0.13, -0.8227583939722629, 0.26, -0.023, 0.09892202727022276, -0.003, 0.0025, 7.33740087377035, 10.498378416416625]:
  Angle -10: cl=-0.5647933483123779, cd=0.23274964094161987, cm=-0.18949468433856964
  Angle -9: cl=-0.5925077199935913, cd=0.19981268048286438, cm=-0.18581946194171906
  Angle -8: cl=-0.6152417063713074, cd=0.16485939919948578, cm=-0.18432022631168365
  Angle -7: cl=-0.6543992161750793, cd=0.13007280230522156, cm=-0.17928464710712433
  Angle -6: cl=-0.6104697585105896, cd=0.11546880751848221, cm=-0.16443894803524017
  Angle -5: cl=-0.5038384199142456, cd=0.10407687723636627, cm=-0.15144507586956024
  Angle -4: cl=-0.41189420223236084, cd=0.09908795356750488, cm=-0.13813479244709015
  Angle -3: cl=-0.30981379747390747, cd=0.09317254275083542, cm=-0.1243899017572403
  Angle -2: cl=-0.23130783438682556, cd=0.08774670958518982, cm=-0.10208411514759064
  Angle -1: cl=-0.17032168805599213, cd=0.0830150693655014, cm=-0.07292406260967255
  Angle 0: cl=-0.10016067326068878, cd=0.08219677954912186, cm=-0.04447771608829498
  Angle 1: cl=-0.016830431297421455, cd=0.08273124694824219, cm=-0.022556141018867493
  Angle 2: cl=0.06644410640001297, cd=0.08354483544826508, cm=-0.00723622739315033
  Angle 3: cl=0.2995147705078125, cd=0.06810247898101807, cm=-0.00220528244972229
  Angle 4: cl=0.41020989418029785, cd=0.07302571088075638, cm=0.0019245445728302002
  Angle 5: cl=0.5088942646980286, cd=0.08131235092878342, cm=0.005409106612205505
  Angle 6: cl=0.6025407910346985, cd=0.08839826285839081, cm=0.007576271891593933
  Angle 7: cl=0.6921891570091248, cd=0.09500305354595184, cm=0.009953886270523071
  Angle 8: cl=0.7823993563652039, cd=0.10143562406301498, cm=0.011265233159065247
  Angle 9: cl=0.8771921992301941, cd=0.10548406839370728, cm=0.0030731111764907837
  Angle 10: cl=0.9767505526542664, cd=0.11066409945487976, cm=-0.004883572459220886
Genotype [0.0085, 0.46, 0.13, -0.8227583939722629, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.33740087377035, 10.498378416416625]:
  Angle -10: cl=-0.5654327869415283, cd=0.2335909903049469, cm=-0.18984933197498322
  Angle -9: cl=-0.5926487445831299, cd=0.20070376992225647, cm=-0.18602825701236725
  Angle -8: cl=-0.6153855323791504, cd=0.16577686369419098, cm=-0.18478165566921234
  Angle -7: cl=-0.6544504165649414, cd=0.13089144229888916, cm=-0.18004073202610016
  Angle -6: cl=-0.6092293858528137, cd=0.11614581942558289, cm=-0.1652623564004898
  Angle -5: cl=-0.502692699432373, cd=0.104378841817379, cm=-0.1520518809556961
  Angle -4: cl=-0.41005852818489075, cd=0.09921668469905853, cm=-0.1388772577047348
  Angle -3: cl=-0.30821362137794495, cd=0.09338519722223282, cm=-0.12531514465808868
  Angle -2: cl=-0.2283473014831543, cd=0.08800087124109268, cm=-0.10349716246128082
  Angle -1: cl=-0.16721861064434052, cd=0.08325754851102829, cm=-0.07431046664714813
  Angle 0: cl=-0.0959520936012268, cd=0.08240246027708054, cm=-0.04602836072444916
  Angle 1: cl=-0.012702176347374916, cd=0.08282699435949326, cm=-0.023881837725639343
  Angle 2: cl=0.07088851928710938, cd=0.08372528851032257, cm=-0.008682623505592346
  Angle 3: cl=0.30180132389068604, cd=0.06856133788824081, cm=-0.0035647302865982056
  Angle 4: cl=0.4163748621940613, cd=0.07253704965114594, cm=0.0012581944465637207
  Angle 5: cl=0.5148915648460388, cd=0.08082519471645355, cm=0.004660993814468384
  Angle 6: cl=0.6074143052101135, cd=0.08800110965967178, cm=0.006960362195968628
  Angle 7: cl=0.6972399353981018, cd=0.09460515528917313, cm=0.009388327598571777
  Angle 8: cl=0.7873237729072571, cd=0.10125106573104858, cm=0.011228024959564209
  Angle 9: cl=0.8824731707572937, cd=0.10539014637470245, cm=0.0033367425203323364
  Angle 10: cl=0.9818730354309082, cd=0.11066645383834839, cm=-0.004608646035194397
Genotype [0.0085, 0.46, 0.13, -0.8227583939722629, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.33740087377035, 10.498378416416625]:
  Angle -10: cl=-0.5654327869415283, cd=0.2335909903049469, cm=-0.18984933197498322
  Angle -9: cl=-0.5926487445831299, cd=0.20070376992225647, cm=-0.18602825701236725
  Angle -8: cl=-0.6153855323791504, cd=0.16577686369419098, cm=-0.18478165566921234
  Angle -7: cl=-0.6544504165649414, cd=0.13089144229888916, cm=-0.18004073202610016
  Angle -6: cl=-0.6092293858528137, cd=0.11614581942558289, cm=-0.1652623564004898
  Angle -5: cl=-0.502692699432373, cd=0.104378841817379, cm=-0.1520518809556961
  Angle -4: cl=-0.41005852818489075, cd=0.09921668469905853, cm=-0.1388772577047348
  Angle -3: cl=-0.30821362137794495, cd=0.09338519722223282, cm=-0.12531514465808868
  Angle -2: cl=-0.2283473014831543, cd=0.08800087124109268, cm=-0.10349716246128082
  Angle -1: cl=-0.16721861064434052, cd=0.08325754851102829, cm=-0.07431046664714813
  Angle 0: cl=-0.0959520936012268, cd=0.08240246027708054, cm=-0.04602836072444916
  Angle 1: cl=-0.012702176347374916, cd=0.08282699435949326, cm=-0.023881837725639343
  Angle 2: cl=0.07088851928710938, cd=0.08372528851032257, cm=-0.008682623505592346
  Angle 3: cl=0.30180132389068604, cd=0.06856133788824081, cm=-0.0035647302865982056
  Angle 4: cl=0.4163748621940613, cd=0.07253704965114594, cm=0.0012581944465637207
  Angle 5: cl=0.5148915648460388, cd=0.08082519471645355, cm=0.004660993814468384
  Angle 6: cl=0.6074143052101135, cd=0.08800110965967178, cm=0.006960362195968628
  Angle 7: cl=0.6972399353981018, cd=0.09460515528917313, cm=0.009388327598571777
  Angle 8: cl=0.7873237729072571, cd=0.10125106573104858, cm=0.011228024959564209
  Angle 9: cl=0.8824731707572937, cd=0.10539014637470245, cm=0.0033367425203323364
  Angle 10: cl=0.9818730354309082, cd=0.11066645383834839, cm=-0.004608646035194397
Genotype [0.0085, 0.46, 0.13, -0.8227583939722629, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.33740087377035, 10.498378416416625]:
  Angle -10: cl=-0.5654327869415283, cd=0.2335909903049469, cm=-0.18984933197498322
  Angle -9: cl=-0.5926487445831299, cd=0.20070376992225647, cm=-0.18602825701236725
  Angle -8: cl=-0.6153855323791504, cd=0.16577686369419098, cm=-0.18478165566921234
  Angle -7: cl=-0.6544504165649414, cd=0.13089144229888916, cm=-0.18004073202610016
  Angle -6: cl=-0.6092293858528137, cd=0.11614581942558289, cm=-0.1652623564004898
  Angle -5: cl=-0.502692699432373, cd=0.104378841817379, cm=-0.1520518809556961
  Angle -4: cl=-0.41005852818489075, cd=0.09921668469905853, cm=-0.1388772577047348
  Angle -3: cl=-0.30821362137794495, cd=0.09338519722223282, cm=-0.12531514465808868
  Angle -2: cl=-0.2283473014831543, cd=0.08800087124109268, cm=-0.10349716246128082
  Angle -1: cl=-0.16721861064434052, cd=0.08325754851102829, cm=-0.07431046664714813
  Angle 0: cl=-0.0959520936012268, cd=0.08240246027708054, cm=-0.04602836072444916
  Angle 1: cl=-0.012702176347374916, cd=0.08282699435949326, cm=-0.023881837725639343
  Angle 2: cl=0.07088851928710938, cd=0.08372528851032257, cm=-0.008682623505592346
  Angle 3: cl=0.30180132389068604, cd=0.06856133788824081, cm=-0.0035647302865982056
  Angle 4: cl=0.4163748621940613, cd=0.07253704965114594, cm=0.0012581944465637207
  Angle 5: cl=0.5148915648460388, cd=0.08082519471645355, cm=0.004660993814468384
  Angle 6: cl=0.6074143052101135, cd=0.08800110965967178, cm=0.006960362195968628
  Angle 7: cl=0.6972399353981018, cd=0.09460515528917313, cm=0.009388327598571777
  Angle 8: cl=0.7873237729072571, cd=0.10125106573104858, cm=0.011228024959564209
  Angle 9: cl=0.8824731707572937, cd=0.10539014637470245, cm=0.0033367425203323364
  Angle 10: cl=0.9818730354309082, cd=0.11066645383834839, cm=-0.004608646035194397
Genotype [0.0085, 0.46, 0.13, -0.8227583939722629, 0.26, -0.023, 0.05, -0.006, 0.0025, 7.33740087377035, 10.498378416416625]:
  Angle -10: cl=-0.5659997463226318, cd=0.18957901000976562, cm=-0.17562629282474518
  Angle -9: cl=-0.6081930994987488, cd=0.16406095027923584, cm=-0.16842274367809296
